City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
205,Balad,IQ,2021-12-05 13:47:26,34.0164,44.1453,62.29,18,100,9.24
206,Klaksvik,FO,2021-12-05 13:47:26,62.2266,-6.589,34.72,54,54,6.58
207,Aswan,EG,2021-12-05 13:47:27,24.0934,32.907,76.3,25,1,14.97
208,Melo,UY,2021-12-05 13:47:27,-32.3667,-54.1833,76.48,53,16,10.38
209,Sambava,MG,2021-12-05 13:47:27,-14.2667,50.1667,81.48,74,100,11.65
210,Fukue,JP,2021-12-05 13:47:27,32.6881,128.8419,55.49,60,14,3.24
211,Vardo,NO,2021-12-05 13:47:28,70.3705,31.1107,18.73,76,14,25.19
212,Portland,US,2021-12-05 13:45:38,45.5234,-122.6762,40.95,90,1,1.01
213,Kaitangata,NZ,2021-12-05 13:47:28,-46.2817,169.8464,49.93,75,96,4.76
214,Athens,GR,2021-12-05 13:44:37,37.9795,23.7162,65.5,69,40,1.99
215,Saginaw,US,2021-12-05 13:45:19,43.3334,-84.0333,32.07,74,90,4.61
216,Port Blair,IN,2021-12-05 13:47:28,11.6667,92.75,80.01,73,42,11.36
217,Sitka,US,2021-12-05 13:47:29,57.0531,-135.33,31.89,86,90,8.05
218,Talnakh,RU,2021-12-05 13:47:29,69.4865,88.3972,-23.8,97,100,13.0
219,Mandalgovi,MN,2021-12-05 13:47:29,45.7625,106.2708,18.93,58,0,7.54
220,Maldonado,UY,2021-12-05 13:45:26,-34.6667,-54.9167,70.99,66,74,7.83
221,Alta Floresta,BR,2021-12-05 13:47:29,-9.8756,-56.0861,76.82,94,90,4.61
222,Leshukonskoye,RU,2021-12-05 13:47:30,64.8989,45.7622,9.63,93,29,5.46
223,Bako,ET,2021-12-05 13:47:30,5.7833,36.5667,80.69,36,86,2.91
224,Santiago Del Estero,AR,2021-12-05 13:47:30,-27.7951,-64.2615,77.81,39,93,2.82
225,Nioro,GM,2021-12-05 13:47:31,13.35,-15.75,99.36,10,100,9.17
226,Korla,CN,2021-12-05 13:47:31,41.7597,86.1469,34.11,39,100,0.4
227,Huilong,CN,2021-12-05 13:47:31,31.8111,121.655,56.03,75,4,8.55
228,Awjilah,LY,2021-12-05 13:47:31,29.1081,21.2869,68.65,39,0,10.16
229,Mareeba,AU,2021-12-05 13:47:32,-17.0,145.4333,74.12,87,2,2.57
230,Kamaishi,JP,2021-12-05 13:47:32,39.2667,141.8833,37.2,71,4,5.26
231,Alghero,IT,2021-12-05 13:48:32,40.5589,8.3181,53.69,66,75,9.22
232,Sturgis,US,2021-12-05 13:48:33,41.7992,-85.4192,35.31,32,90,10.36
233,Port Hedland,AU,2021-12-05 13:48:33,-20.3167,118.5667,89.65,48,29,13.8
234,Avera,US,2021-12-05 13:48:33,33.194,-82.5271,51.67,81,0,1.41
235,General Roca,AR,2021-12-05 13:48:33,-39.0333,-67.5833,73.8,27,0,5.77
236,Merauke,ID,2021-12-05 13:48:34,-8.4667,140.3333,81.03,77,100,4.21
237,Saskylakh,RU,2021-12-05 13:48:34,71.9167,114.0833,-22.88,95,100,14.07
238,Cabo San Lucas,MX,2021-12-05 13:48:34,22.8909,-109.9124,74.52,71,40,8.05
239,Clyde River,CA,2021-12-05 13:48:35,70.4692,-68.5914,10.63,85,100,41.43
240,Puerto Cabezas,NI,2021-12-05 13:48:35,14.0351,-83.3888,76.96,100,40,4.61
241,Preston,GB,2021-12-05 13:48:35,53.7667,-2.7167,45.18,78,100,1.99
242,Biak,ID,2021-12-05 13:48:35,-0.9131,122.8766,78.3,78,100,2.84
243,Devarkonda,IN,2021-12-05 13:48:36,16.7,78.9333,78.26,59,35,6.24
244,Wanning,CN,2021-12-05 13:48:36,18.8003,110.3967,66.61,74,28,11.86
245,Solnechnyy,RU,2021-12-05 13:48:36,50.7214,136.6319,6.67,95,79,4.07
246,Mar Del Plata,AR,2021-12-05 13:48:36,-38.0023,-57.5575,64.42,86,75,8.01
247,Hualmay,PE,2021-12-05 13:48:37,-11.0964,-77.6139,67.93,83,100,7.43
248,Torrington,US,2021-12-05 13:48:37,41.8007,-73.1212,39.13,78,100,1.79
249,Iquique,CL,2021-12-05 13:48:37,-20.2208,-70.1431,66.24,64,99,7.99
250,Phalombe,MW,2021-12-05 13:48:38,-15.8064,35.6507,92.39,26,61,6.33
251,Deputatskiy,RU,2021-12-05 13:48:38,69.3,139.9,-22.65,91,100,1.77
252,Cordoba,AR,2021-12-05 13:45:26,-31.4135,-64.1811,75.6,77,75,8.05
253,Umm Lajj,SA,2021-12-05 13:48:38,25.0213,37.2685,79.34,71,45,9.24
254,Yatou,CN,2021-12-05 13:48:38,37.15,122.3833,46.81,80,0,9.75
255,Ha Tinh,VN,2021-12-05 13:48:39,18.3333,105.9,63.77,61,79,2.28
256,Labuhan,ID,2021-12-05 13:48:39,-6.8844,112.2051,79.93,81,100,11.12
257,Tilichiki,RU,2021-12-05 13:48:39,60.4667,166.1,-7.94,94,19,6.06
258,San Patricio,US,2021-12-05 13:48:39,28.017,-97.5169,73.26,92,85,6.2
259,Tual,ID,2021-12-05 13:48:40,-5.6667,132.75,83.37,77,100,18.72
260,Garowe,SO,2021-12-05 13:48:40,8.4054,48.4845,84.61,27,8,10.96
261,Maniago,IT,2021-12-05 13:48:40,46.1706,12.7078,42.13,93,100,2.33
262,Greymouth,NZ,2021-12-05 13:48:40,-42.4667,171.2,59.31,94,100,5.82
263,Byron Bay,AU,2021-12-05 13:48:41,-28.65,153.6167,68.88,87,43,9.01
264,Fairbanks,US,2021-12-05 13:48:41,64.8378,-147.7164,-7.64,77,90,0.0
265,Sola,VU,2021-12-05 13:48:41,-13.8833,167.55,80.08,78,14,11.18
266,Burgeo,CA,2021-12-05 13:45:38,47.6167,-57.6152,34.56,54,99,15.17
267,Hofn,IS,2021-12-05 13:48:41,64.2539,-15.2082,28.42,93,90,5.75
268,Ambon,ID,2021-12-05 13:48:42,-3.6954,128.1814,78.94,89,75,6.91
269,Linqiong,CN,2021-12-05 13:48:42,30.4159,103.4609,51.62,67,1,1.19
270,Grand-Santi,GF,2021-12-05 13:48:42,4.25,-54.3833,85.77,63,76,3.2
271,Westport,US,2021-12-05 13:48:42,41.1415,-73.3579,43.75,65,1,1.99
272,Kavieng,PG,2021-12-05 13:48:43,-2.5744,150.7967,82.42,79,100,10.07
273,Chapais,CA,2021-12-05 13:47:46,49.7834,-74.8492,-2.42,97,88,6.13
274,Townsville,AU,2021-12-05 13:47:32,-19.25,146.8,79.68,69,40,13.8
275,Kutina,HR,2021-12-05 13:48:43,45.475,16.7819,39.18,96,100,5.32
