City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Nouadhibou,MR,20.931,-17.0347,67.98,37,94,11.5,overcast clouds
212,Vardo,NO,70.3705,31.1107,23.83,79,95,14.97,overcast clouds
213,Diebougou,BF,10.9667,-3.25,76.69,17,45,4.18,scattered clouds
214,Morshansk,RU,53.4435,41.8107,29.14,74,100,13.13,overcast clouds
215,Sambava,MG,-14.2667,50.1667,73.78,88,20,7.92,few clouds
216,Westport,US,41.1415,-73.3579,59.76,90,90,1.01,overcast clouds
217,Walvis Bay,NA,-22.9575,14.5053,58.08,94,0,5.75,clear sky
218,Dalianwan,CN,39.0286,121.695,37.44,41,0,6.71,clear sky
219,Caravelas,BR,-17.7125,-39.2481,75.42,90,97,7.92,moderate rain
220,Gold Coast,AU,-28.0,153.4333,82.17,76,75,4.61,light rain
221,Okhotsk,RU,59.3833,143.3,-9.09,83,92,14.63,overcast clouds
222,Victoria,HK,22.2855,114.1577,68.25,61,8,3.0,clear sky
223,Mawlaik,MM,23.6333,94.4167,64.69,100,91,0.25,overcast clouds
224,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,72.82,98,100,2.66,overcast clouds
225,Boende,CD,-0.2167,20.8667,69.84,94,38,2.39,light rain
226,Malanje,AO,-9.5402,16.341,63.64,97,76,0.81,light rain
227,Geraldton,AU,-28.7667,114.6,90.01,27,0,17.27,clear sky
228,Mecca,SA,21.4267,39.8261,72.27,76,3,1.05,clear sky
229,Meulaboh,ID,4.1363,96.1285,77.23,86,41,4.03,scattered clouds
230,Hlotse,LS,-28.8718,28.045,56.01,51,0,4.7,clear sky
231,Prince Rupert,CA,54.3161,-130.3201,35.29,68,75,0.0,broken clouds
232,Kashi,CN,39.4547,75.9797,25.81,54,67,2.24,broken clouds
233,Were Ilu,ET,10.6,39.4333,44.98,32,9,6.02,clear sky
234,Hamilton,US,39.1834,-84.5333,35.24,64,1,3.0,clear sky
235,Nome,US,64.5011,-165.4064,24.87,80,90,16.11,light snow
236,Lakes Entrance,AU,-37.8811,147.981,79.57,68,45,9.78,scattered clouds
237,Cody,US,44.5263,-109.0565,27.28,72,94,7.23,overcast clouds
238,Bengkulu,ID,-3.8004,102.2655,75.43,89,100,3.89,moderate rain
239,Kirakira,SB,-10.4544,161.9205,84.18,74,100,7.25,overcast clouds
240,Ostrovnoy,RU,68.0531,39.5131,15.33,85,98,20.13,overcast clouds
241,Luebo,CD,-5.35,21.4167,70.2,99,100,1.25,light rain
242,Marawi,PH,7.9986,124.2928,71.65,97,100,3.53,overcast clouds
243,Hami,CN,42.8,93.45,28.08,55,99,9.6,overcast clouds
244,Lyubim,RU,58.3625,40.6843,14.22,92,100,8.61,overcast clouds
245,Saldanha,ZA,-33.0117,17.9442,57.25,87,13,12.88,few clouds
246,Sept-Iles,CA,50.2001,-66.3821,30.72,97,90,17.0,snow
247,Mehamn,NO,71.0357,27.8492,23.63,91,99,9.71,overcast clouds
248,Marrakesh,MA,31.6315,-8.0083,48.27,66,0,2.3,clear sky
249,Araouane,ML,18.9048,-3.5265,65.03,14,85,11.1,overcast clouds
250,Tessalit,ML,20.1986,1.0114,67.23,19,85,9.35,overcast clouds
251,Ancud,CL,-41.8697,-73.8203,61.0,73,0,1.9,clear sky
252,Portland,US,45.5234,-122.6762,50.25,95,90,8.01,overcast clouds
